N°;Nome Carta;Espansione;Codice Carta;Rarità;Edizione / Artwork;Lingua;Stato / Condizione;Cardmarket Min (€);Cardmarket Trend (€);CardTrader Min (€);CardTrader Trend (€);eBay Min (€);eBay Trend (€);Note
1;"Aluber il Giullare di Despia";"Quarter Century Stampede";"RA04-IT038";"Quarter Century Secret Rare";"1st Edition";"Italiano (ITA)";"Near Mint";48,50;51,56;50,52;52,61;49,51;53,66;"Blueprint CT: #328546 • 7 venditori attivi"
2;"Odino, Padre degli Aesir";"Storm of Ragnarok";"STOR-IT040";"Ghost Rare";"1st Edition";"Italiano (ITA)";"Near Mint";21,46;23,09;22,35;23,56;21,90;24,03;"Blueprint CT: #80186 • 39 venditori attivi"
3;"Loki, Signore degli Aesir";"Legendary Collection 5D's: Mega Pack";"LC5D-IT190";"Secret Rare";"1st Edition";"Italiano (ITA)";"Near Mint";2,88;3,56;3,00;3,63;2,94;3,70;"Blueprint CT: #69640 • 13 venditori attivi"
4;"Loki, Signore degli Aesir";"Storm of Ragnarok";"STOR-IT039";"Ultimate Rare";"1st Edition";"Italiano (ITA)";"Near Mint";3,94;4,83;4,10;4,93;4,02;5,03;"Blueprint CT: #80184 • 40 venditori attivi"
5;"Thor, Signore degli Aesir";"Storm of Ragnarok";"STOR-IT038";"Ultimate Rare";"1st Edition";"Italiano (ITA)";"Near Mint";8,77;11,14;9,14;11,37;8,96;11,60;"Blueprint CT: #80182 • 38 venditori attivi"
6;"Drago Flusso di Vita";"Legendary Collection 5D's: Mega Pack";"LC5D-IT246";"Common";"1st Edition";"Italiano (ITA)";"Near Mint";28,70;44,51;29,90;45,42;29,30;46,33;"Blueprint CT: #69697 • 4 venditori attivi"
7;"Arcidemone Sovrano dei Pensieri";"Legendary Collection 5D's: Mega Pack";"LC5D-IT233";"Secret Rare";"1st Edition";"Italiano (ITA)";"Near Mint";23,42;34,07;24,40;34,77;23,91;35,47;"Blueprint CT: #69683 • 5 venditori attivi"
8;"Maestro Armatura Ala Nera";"Legendary Collection 5D's: Mega Pack";"LC5D-IT132";"Secret Rare";"1st Edition";"Italiano (ITA)";"Near Mint";11,72;15,02;12,21;15,33;11,97;15,64;"Blueprint CT: #69581 • 9 venditori attivi"
9;"Drago Stella Maestoso";"Legendary Collection 5D's: Mega Pack";"LC5D-IT036";"Super Rare";"1st Edition";"Italiano (ITA)";"Near Mint";3,85;6,09;4,01;6,21;3,93;6,33;"Blueprint CT: #69484 • 6 venditori attivi"
10;"Antico Drago Fatato";"Legendary Collection 5D's: Mega Pack";"LC5D-IT238";"Ultra Rare";"1st Edition";"Italiano (ITA)";"Near Mint";0,82;2,46;0,85;2,51;0,83;2,56;"Blueprint CT: #69689 • 15 venditori attivi"
11;"Drago Quasar Sparante";"Legendary Collection 5D's";"LC05-IT005";"Ultra Rare";"1st Edition";"Italiano (ITA)";"Near Mint";3,17;3,99;3,30;4,07;3,23;4,15;"Blueprint CT: #80354 • 21 venditori attivi"
12;"Jormungardr il Serpente Nordic";"Legendary Collection 5D's";"LC05-IT001";"Ultra Rare";"1st Edition";"Italiano (ITA)";"Near Mint";0,32;0,34;0,33;0,35;0,32;0,36;"Blueprint CT: #80350 • 60 venditori attivi"
13;"Fenrir il Lupo Nordic";"Legendary Collection 5D's";"LC05-IT002";"Ultra Rare";"1st Edition";"Italiano (ITA)";"Near Mint";0,17;0,31;0,18;0,32;0,18;0,33;"Blueprint CT: #80351 • 47 venditori attivi"
14;"Codificatore Trasmittente";"Maximum Gold: El Dorado";"MGED-IT037";"Premium Gold Rare";"1st Edition";"Italiano (ITA)";"Near Mint";1,05;1,65;1,09;1,68;1,07;1,71;"Blueprint CT: #197750 • 42 venditori attivi"
15;"Obelisk il Tormentatore";"Quarter Century Bonanza";"RA03-IT230";"Platinum Secret Rare";"1st Edition";"Italiano (ITA)";"Near Mint";3,94;4,61;4,10;4,70;4,02;4,79;"Blueprint CT: #309870 • 21 venditori attivi"
16;"Obelisk il Tormentatore";"Quarter Century Stampede";"RA04-IT116";"Quarter Century Secret Rare";"1st Edition";"Italiano (ITA)";"Near Mint";16,53;17,70;17,22;18,06;16,88;18,42;"Blueprint CT: #328973 • 13 venditori attivi"
17;"Obelisk il Tormentatore";"2019 Gold Sarcophagus Tin";"TN19-IT007";"Secret Rare";"1st Edition";"Italiano (ITA)";"Near Mint";0,81;1,28;0,84;1,31;0,82;1,34;"Blueprint CT: #66551 • 42 venditori attivi"
18;"Slifer il Drago del Cielo";"Quarter Century Stampede";"RA04-IT117";"Quarter Century Secret Rare";"1st Edition";"Italiano (ITA)";"Near Mint";22,18;23,82;23,10;24,31;22,64;24,80;"Blueprint CT: #328975 • 13 venditori attivi"
19;"Slifer il Drago del Cielo";"Quarter Century Bonanza";"RA03-IT244";"Platinum Secret Rare";"1st Edition";"Italiano (ITA)";"Near Mint";4,01;4,79;4,18;4,89;4,10;4,99;"Blueprint CT: #309898 • 20 venditori attivi"
20;"Slifer il Drago del Cielo";"2019 Gold Sarcophagus Tin";"TN19-IT008";"Secret Rare";"1st Edition";"Italiano (ITA)";"Near Mint";2,50;3,11;2,60;3,17;2,55;3,23;"Blueprint CT: #66552 • 25 venditori attivi"
21;"Drago Alato di Ra";"2019 Gold Sarcophagus Tin";"TN19-IT009";"Secret Rare";"1st Edition";"Italiano (ITA)";"Near Mint";2,50;2,80;2,60;2,86;2,55;2,92;"Blueprint CT: #66553 • 29 venditori attivi"
22;"Drago Alato di Ra";"Quarter Century Stampede";"RA04-IT118";"Quarter Century Secret Rare";"1st Edition";"Italiano (ITA)";"Near Mint";29,16;37,50;30,38;38,27;29,77;39,04;"Blueprint CT: #328977 • 11 venditori attivi"
23;"Drago Alato di Ra";"Quarter Century Bonanza";"RA03-IT137";"Platinum Secret Rare";"1st Edition";"Italiano (ITA)";"Near Mint";13,09;23,97;13,64;24,46;13,37;24,95;"Blueprint CT: #309684 • 7 venditori attivi"
24;"Aleister l'Invocatore";"Quarter Century Stampede";"RA04-IT024";"Quarter Century Secret Rare";"1st Edition";"Italiano (ITA)";"Near Mint";24,37;32,96;25,39;33,63;24,88;34,30;"Blueprint CT: #329299 • 7 venditori attivi"
25;"Prigione Dimensionale";"Quarter Century Stampede";"RA04-IT132";"Platinum Secret Rare";"1st Edition";"Italiano (ITA)";"Near Mint";14,60;16,14;15,21;16,47;14,91;16,80;"Blueprint CT: #329004 • 10 venditori attivi"
26;"Uria, Signore delle Fiamme Impetuose";"Shadow of Infinity";"SOI-IT001";"Ultimate Rare";"1st Edition";"Italiano (ITA)";"Near Mint";77,41;418,11;80,64;426,64;79,03;435,17;"Blueprint CT: #62979 • 11 venditori attivi"
27;"Hamon, Signore del Tuono Scioccante";"Shadow of Infinity";"SOI-IT002";"Ultimate Rare";"1st Edition";"Italiano (ITA)";"Near Mint";22,46;42,79;23,40;43,66;22,93;44,53;"Blueprint CT: #62981 • 18 venditori attivi"
28;"Raviel, il Signore dei Fantasmi";"Shadow of Infinity";"SOI-IT003";"Ultimate Rare";"1st Edition";"Italiano (ITA)";"Near Mint";14,60;43,54;15,21;44,43;14,91;45,32;"Blueprint CT: #62983 • 25 venditori attivi"
29;"Drago Fotonico Occhi Galattici Neo";"Battles of Legend: Light's Revenge";"BLLR-IT064";"Ultra Rare";"1st Edition";"Italiano (ITA)";"Near Mint";4,70;5,65;4,90;5,77;4,80;5,89;"Blueprint CT: #80623 • 16 venditori attivi"
30;"Numero C62: Neo Drago Fotonico Primordiale";"Photon Hypernova";"PHHY-IT043";"Ultra Rare";"1st Edition";"Italiano (ITA)";"Near Mint";4,11;6,41;4,28;6,54;4,19;6,67;"Blueprint CT: #236687 • 11 venditori attivi"
31;"Numero 62: Drago Fotonico Primordiale";"Battles of Legend: Light's Revenge";"BLLR-IT070";"Ultra Rare";"1st Edition";"Italiano (ITA)";"Near Mint";4,79;5,69;4,99;5,81;4,89;5,93;"Blueprint CT: #80629 • 12 venditori attivi"
32;"Infernoid Onuncu";"Secrets of Eternity";"SECE-IT019";"Ultimate Rare";"1st Edition";"Italiano (ITA)";"Near Mint";4,81;6,64;5,01;6,78;4,91;6,92;"Blueprint CT: #84619 • 41 venditori attivi"
33;"Numero 89: Diablosis l'Hacker di Menti";"Brothers of Legend";"BROL-IT073";"Secret Rare";"1st Edition";"Italiano (ITA)";"Near Mint";0,67;1,23;0,70;1,26;0,69;1,29;"Blueprint CT: #201130 • 32 venditori attivi"
